axis1,axis2,axis3,axis4,axis5
159.2046,247.886,236.1464,78.34125,218.1954
159.2046,247.886,236.1464,78.34125,218.1954
159.919,248.4425,236.3801,72.73386,212.9181
159.919,248.4425,236.3801,72.73386,212.9181
160.4384,248.8492,236.9159,66.93481,207.8516
160.4384,248.8492,236.9159,66.93481,207.8516
160.4384,248.8492,236.9159,66.93481,207.8516
160.4384,248.8492,236.9159,66.93481,207.8516
160.7274,249.1209,237.9712,60.49794,202.553
160.7274,249.1209,237.9712,60.49794,202.553
160.7274,249.1209,237.9712,60.49794,202.553
160.8403,249.2849,239.0684,54.21971,197.4882
160.8403,249.2849,239.0684,54.21971,197.4882
160.8403,249.2849,239.0684,54.21971,197.4882
160.8812,249.3959,240.1516,48.28428,192.7223
160.9055,249.5002,241.1841,42.77474,188.2834
160.9055,249.5002,241.1841,42.77474,188.2834
160.9055,249.5002,241.1841,42.77474,188.2834
160.9055,249.5002,241.1841,42.77474,188.2834
160.9554,249.6373,242.144,37.70918,184.1823
160.9554,249.6373,242.144,37.70918,184.1823
160.9554,249.6373,242.144,37.70918,184.1823
160.234,249.322,244.1797,29.56459,178.3975
160.234,249.322,244.1797,29.56459,178.3975
160.234,249.322,244.1797,29.56459,178.3975
159.2881,248.8205,246.0868,21.02183,172.6024
159.2881,248.8205,246.0868,21.02183,172.6024
158.3541,248.2728,247.5978,12.6834,167.0371
158.3541,248.2728,247.5978,12.6834,167.0371
158.3541,248.2728,247.5978,12.6834,167.0371
158.3541,248.2728,247.5978,12.6834,167.0371
157.534,247.7719,248.7266,4.866172,161.7936
157.534,247.7719,248.7266,4.866172,161.7936
157.534,247.7719,248.7266,4.866172,161.7936
156.8976,247.3854,249.5169,357.7374,156.8916
156.8976,247.3854,249.5169,357.7374,156.8916
156.8976,247.3854,249.5169,357.7374,156.8916
156.1017,246.9362,250.4427,358.1233,158.8444
156.1017,246.9362,250.4427,358.1233,158.8444
156.1017,246.9362,250.4427,358.1233,158.8444
156.1017,246.9362,250.4427,358.1233,158.8444
155.3703,246.4771,251.3307,359.5604,161.9698
155.3703,246.4771,251.3307,359.5604,161.9698
155.3703,246.4771,251.3307,359.5604,161.9698
155.3703,246.4771,251.3307,359.5604,161.9698
154.8045,246.0742,252.0822,2.103015,166.1041
154.8045,246.0742,252.0822,2.103015,166.1041
154.8045,246.0742,252.0822,2.103015,166.1041
154.8045,246.0742,252.0822,2.103015,166.1041
154.3952,245.742,252.6458,5.94728,171.223
154.3952,245.742,252.6458,5.94728,171.223
154.3952,245.742,252.6458,5.94728,171.223
154.0997,245.4623,252.9828,10.93312,177.0985
154.0997,245.4623,252.9828,10.93312,177.0985
154.0596,245.3848,252.9251,11.48411,178.6644
154.0596,245.3848,252.9251,11.48411,178.6644
154.0596,245.3848,252.9251,11.48411,178.6644
154.1515,245.4081,252.6866,12.40366,180.3132
154.1515,245.4081,252.6866,12.40366,180.3132
154.1515,245.4081,252.6866,12.40366,180.3132
154.2861,245.4414,252.2884,13.20076,181.7253
154.2861,245.4414,252.2884,13.20076,181.7253
154.413,245.4365,251.7089,13.53516,182.6313
154.413,245.4365,251.7089,13.53516,182.6313
154.4827,245.3611,250.9461,13.39772,183.0547
154.4827,245.3611,250.9461,13.39772,183.0547
154.4827,245.3611,250.9461,13.39772,183.0547
154.5244,245.1245,249.4701,18.40575,187.5883
154.5244,245.1245,249.4701,18.40575,187.5883
154.3623,244.7188,248.1212,23.72722,192.0194
154.3623,244.7188,248.1212,23.72722,192.0194
154.3623,244.7188,248.1212,23.72722,192.0194
153.929,244.159,246.984,29.49623,196.5081
153.929,244.159,246.984,29.49623,196.5081
153.929,244.159,246.984,29.49623,196.5081
153.2736,243.4613,245.9975,35.72805,201.1907
153.2736,243.4613,245.9975,35.72805,201.1907
153.2736,243.4613,245.9975,35.72805,201.1907
152.4573,242.6403,245.0829,42.25432,206.0674
152.4573,242.6403,245.0829,42.25432,206.0674
152.4573,242.6403,245.0829,42.25432,206.0674
151.8296,242.0065,244.9166,40.29642,204.692
151.8296,242.0065,244.9166,40.29642,204.692
151.8296,242.0065,244.9166,40.29642,204.692
151.8296,242.0065,244.9166,40.29642,204.692
151.2767,241.5337,244.7009,36.8178,202.1116
151.2767,241.5337,244.7009,36.8178,202.1116
150.9225,241.2354,244.3172,32.56318,198.7062
150.9225,241.2354,244.3172,32.56318,198.7062
150.9225,241.2354,244.3172,32.56318,198.7062
150.9225,241.2354,244.3172,32.56318,198.7062
150.7834,241.0921,243.6817,27.76409,194.6681
150.7834,241.0921,243.6817,27.76409,194.6681
150.8086,241.0604,242.8263,22.61329,190.2342
150.8086,241.0604,242.8263,22.61329,190.2342
150.8086,241.0604,242.8263,22.61329,190.2342
151.5025,241.4286,240.338,30.262,193.6445
151.5025,241.4286,240.338,30.262,193.6445
152.2635,241.8356,237.7623,39.79879,197.596
152.2635,241.8356,237.7623,39.79879,197.596
152.2635,241.8356,237.7623,39.79879,197.596
152.2635,241.8356,237.7623,39.79879,197.596
152.2635,241.8356,237.7623,39.79879,197.596
152.903,242.1942,235.4501,49.93357,201.3968
152.903,242.1942,235.4501,49.93357,201.3968
152.903,242.1942,235.4501,49.93357,201.3968
152.903,242.1942,235.4501,49.93357,201.3968
153.3821,242.4695,233.409,59.87309,205.032
153.3821,242.4695,233.409,59.87309,205.032
153.3821,242.4695,233.409,59.87309,205.032
153.3821,242.4695,233.409,59.87309,205.032
153.7117,242.6526,231.6153,69.10518,208.6609
153.7117,242.6526,231.6153,69.10518,208.6609
153.7117,242.6526,231.6153,69.10518,208.6609
153.5655,242.523,230.4864,76.07805,211.8776
153.5655,242.523,230.4864,76.07805,211.8776
153.5655,242.523,230.4864,76.07805,211.8776
153.1944,242.1812,229.7554,82.08572,215.5257
153.1944,242.1812,229.7554,82.08572,215.5257
153.1944,242.1812,229.7554,82.08572,215.5257
153.1944,242.1812,229.7554,82.08572,215.5257
152.6568,241.6726,229.2481,87.43136,219.6351
152.6568,241.6726,229.2481,87.43136,219.6351
152.6568,241.6726,229.2481,87.43136,219.6351
151.9951,241.0432,228.9087,92.43995,224.2179
151.9951,241.0432,228.9087,92.43995,224.2179
151.9951,241.0432,228.9087,92.43995,224.2179
151.9951,241.0432,228.9087,92.43995,224.2179
151.9951,241.0432,228.9087,92.43995,224.2179
151.2488,240.3344,228.7005,97.37526,229.31
151.2488,240.3344,228.7005,97.37526,229.31
151.2488,240.3344,228.7005,97.37526,229.31
151.2488,240.3344,228.7005,97.37526,229.31
149.8589,239.172,231.4861,89.20135,226.8746
149.8589,239.172,231.4861,89.20135,226.8746
149.8589,239.172,231.4861,89.20135,226.8746
148.2785,237.9287,234.8528,81.02203,224.5037
148.2785,237.9287,234.8528,81.02203,224.5037
148.2785,237.9287,234.8528,81.02203,224.5037
148.2785,237.9287,234.8528,81.02203,224.5037
146.7209,236.7357,237.8402,73.88715,222.2291
146.7209,236.7357,237.8402,73.88715,222.2291
146.7209,236.7357,237.8402,73.88715,222.2291
146.7209,236.7357,237.8402,73.88715,222.2291
145.3289,235.6747,240.0361,68.31452,219.8625
145.3289,235.6747,240.0361,68.31452,219.8625
145.3289,235.6747,240.0361,68.31452,219.8625
144.1706,234.789,241.3129,64.54951,217.4285
143.9293,234.555,241.7397,61.93797,214.2471
143.9293,234.555,241.7397,61.93797,214.2471
144.1325,234.7644,241.4442,59.21366,209.6538
144.1325,234.7644,241.4442,59.21366,209.6538
144.1325,234.7644,241.4442,59.21366,209.6538
144.1325,234.7644,241.4442,59.21366,209.6538
144.7236,235.3185,240.8966,56.04171,203.8839
144.7236,235.3185,240.8966,56.04171,203.8839
144.7236,235.3185,240.8966,56.04171,203.8839
145.5868,236.091,240.291,52.12761,197.1677
145.5868,236.091,240.291,52.12761,197.1677
145.5868,236.091,240.291,52.12761,197.1677
145.5868,236.091,240.291,52.12761,197.1677
146.5975,236.9696,239.7606,47.32229,189.7632
146.5975,236.9696,239.7606,47.32229,189.7632
146.5975,236.9696,239.7606,47.32229,189.7632
146.5975,236.9696,239.7606,47.32229,189.7632
147.6285,237.8124,238.9336,49.24408,189.5191
147.6285,237.8124,238.9336,49.24408,189.5191
148.5386,238.4777,238.2353,50.16901,188.9187
148.5386,238.4777,238.2353,50.16901,188.9187
148.5386,238.4777,238.2353,50.16901,188.9187
148.5386,238.4777,238.2353,50.16901,188.9187
149.2342,238.9691,237.8482,50.55861,188.377
149.2342,238.9691,237.8482,50.55861,188.377
149.2342,238.9691,237.8482,50.55861,188.377
149.2342,238.9691,237.8482,50.55861,188.377
149.6941,239.313,237.7676,50.90439,188.3017
149.6941,239.313,237.7676,50.90439,188.3017
149.6941,239.313,237.7676,50.90439,188.3017
149.6941,239.313,237.7676,50.90439,188.3017
149.9647,239.5493,237.9408,51.27564,188.6803
149.9647,239.5493,237.9408,51.27564,188.6803
149.9647,239.5493,237.9408,51.27564,188.6803
149.9647,239.5493,237.9408,51.27564,188.6803
149.9647,239.5493,237.9408,51.27564,188.6803
150.7485,240.1205,237.5286,48.08334,184.8171
150.7485,240.1205,237.5286,48.08334,184.8171
150.7485,240.1205,237.5286,48.08334,184.8171
150.7485,240.1205,237.5286,48.08334,184.8171
151.7031,240.8813,237.3907,46.25642,182.2377
151.7031,240.8813,237.3907,46.25642,182.2377
151.7031,240.8813,237.3907,46.25642,182.2377
151.7031,240.8813,237.3907,46.25642,182.2377
151.7031,240.8813,237.3907,46.25642,182.2377
152.6792,241.7147,237.4891,44.60492,179.9474
153.6674,242.573,237.7505,42.37323,177.3121
153.6674,242.573,237.7505,42.37323,177.3121
153.6674,242.573,237.7505,42.37323,177.3121
154.6499,243.4267,238.1184,39.49072,174.351
154.6499,243.4267,238.1184,39.49072,174.351
155.0085,243.9376,239.5957,33.35684,169.5829
155.0085,243.9376,239.5957,33.35684,169.5829
155.1421,244.2998,240.9264,26.55407,165.1644
